9SIA9F94KY3819,2YM-000N-00063,11/24/2016 4:23:38 AM,Anonymous,Feels like good quality,5, the plastic is thick and doesn't kink easily. I'll post more info after I build the loop and it's been running for a couple of months., none so far., bought way more then I needed.,None,None
9SIA9AB3T28112,2YM-000S-00063,1/30/2017 7:44:49 AM,Anonymous,terrible product!,1, pretty color at first, color faded after a week and then gummed up my pump i  DO NOT recommend this product to anyone   using regular car antifreeze 50/50 mix would work  alot better,,None,None
9SIA9F94RC5390,2YM-0007-00178,10/13/2016 6:57:37 AM,Kinan A.,Not great quality,1," Mod MY Mods has great customer service and took these tubes back for a refund - had to send them back at my expense, though."," These do not bend well - I've bent thermaltake, primochill, and ek tubs before and the quality of these tubes just doesn't match up.",,None,None
9SIA85V4AV6175,2YM-000N-00059,11/25/2016 7:33:55 PM,Brent B.,Turning Brown After Two Weeks,1, Looks cool with UV light for a very short time., I think the same thing that happened to JayzTwoCents on youtube is happening to mine. Guess pastel is out. Turning a yucky brown like rotten milk.,,None,None
9SIA9F93H45734,2YM-0008-00014,2/19/2016 10:25:28 AM,Anonymous,,1, im sure there would be if i could get it, second product i have ordered from modmymods that took 5+ business days to even ship. already went ahead and ordered a different pump 3 days after this one and already received it. I shall be returning this pump when i get it. do not buy unless you are prepared to wait a good while.,,None,None
9SIA85V5810178,2YM-0007-001B4,11/20/2016 2:37:46 PM,Michael W.,"Excellent product, ModMyMods was very quick and attentive.",4," Great flow, low turbulence/air noise, great cooling, thin design, multiple hose options/connection points.", Logo being in sky blue., I would pay for logo stickers in any neutral (grey/white/silver) color or red. ;),None,None
9SIA9AB3VB4081,2YM-000S-000B5,2/6/2017 2:07:35 PM,CHRISTOPHER F.,PrimoChill 1/2in. Rigid RevolverSX Series Fitting,4, Looks greatEasy to install, Finish is easily damagedPrice," These fittings look great installed and there are a large variety of colors to choose from. I would advise being very carefully when installing (And uninstalling). The finish scratches EXTREMELY easily. The good thing about buying 12 is you probably don't need 12 so you have some room for error. Installation is very easy otherwise. I would not recommend using the tightening tool that comes with the package! It is very easy to scratch the finish and it is NOT necessary to use a tool to tighten effectively. Stick to the ""finger tight"" rule of thumb. After installation I had no issues with this product. Each fitting has performed as intended with no leaks or other issues. I would recommend this to anyone who feels comfortable dishing out the amount of money fitting like these cost. In my opinion, well worth it.",None,None
9SIA9F94SR4791,2YM-0011-00011,11/17/2016 2:29:00 PM,Anonymous,"Seemed fine, worked well at first",3," Originally, no leaks, good flow, worked as PWM unit."," Stopped working as PWM pump, RPM as 0, only ran 100%Eventually it fed itself enough air bubbles on 100% to start to cavitate and began vibrating.Obviously I shut down and bled as best I could as soon as the vibration was noticed.Seems damage was done, vibration at 100% continued with no PMW adjustment possible."," Purchased a VPP775, I love that it can be adjusted manually and be used as PWM, brilliant.",None,None
9SIA9F94020878,2YM-000A-000E8,12/9/2016 6:18:25 PM,Anonymous,,5, Cheap, Not 12/10mm. Its 12/8mm or at least what they sent me was.,,None,None
9SIAAXT50X2170,2YM-000N-00009,7/5/2016 4:40:49 PM,Sheldon B.,Amazing color and effects but...,4, Great color with beautiful effects. Probably the best accent coolant you could buy.," Swirl effects slow down rather quickly, it does help to shake the case to stir up the mica that settles", Figure out a way to keep the mica suspended so it doesn't settle out,None,None
9SIA9AB3T28109,2YM-000S-00060,11/2/2016 3:47:00 AM,Anonymous,Great product,5, Looks great under UV light. Works well at keeping everything cool. Not a peep from my Fluke voltmeter, No problems,,None,None
9SIA9F93NK6644,2YM-0007-000C0,11/20/2016 3:28:19 PM,Michael W.,"Drain point for my PC, forgot it and ModMyMods got it to me fast",5, It's a well built and attractive valve to let fluids out as need be., none," Essentially this is my computers wang so I attached a quality fitting/hose and was sure cut it to over 7"" long ... read into that however you will ;) :D",None,None
9SIA9F93ZD0977,2YM-0007-000V2,7/15/2016 8:18:40 AM,Anonymous,Great product but strange design,3, I love that the dual bay is big. I had a dual bay from another company that needed to be replaced that was only have the length of this one.Pump is silent and power full.  The construction feels sturdy and there are a total of 7 drain-fill ports. Dual LED place holders (no LED included) which allows you to have 2 colors showing the fill level of the reservoir (I used blue for the water level and red for the empty space)," All the threads for the fittings are some sort of plastic. I don't like screwing metal fittings into plastic. You can easily strip the thread and have to MacGyver a solution to get it to work again (don't ask me how I know that).The design is odd. I fought for 4 hours trying to get this pump/reservoir combo working without luck. Only after contacting support and being told that I basically have to fill my entire water cooling system before the pump will work I got it to work. The problem with that is my radiator sits on top of the case and the pump sits below in the 5,25 bay. Therefore I can never get water filled into the entire system (through the reservoir) without moving the case on it's back and moving it in circles to flush out air, while making sure nothing leaks out - WHAT A PAIN! My old pump/reservoir combo had no such issues ( I filled water into the reservoir, turned it on and it did the rest).", I don't think I would buy this again if I had a choice. I like the product overall but I simply cannot recommend it based on how the pump operates. If you cannot fill your entire system with liquid prior to turning on the pump - be prepared to suffer.,None,None
9SIA9AB4S54145,2YM-000S-000N2,2/22/2017 3:54:02 AM,mitchell e.,looks pink lol,3, looks nice after I painted them red, they are pink even in uv.,,None,None
9SIA9AB3VB4044,2YM-000S-00078,9/7/2016 5:58:09 PM,Lawrence W.,these things are way bigger than they look,5, the seals on these fitting are massive rubber rings. for real I'm more worried about the water block leaking than any of the fittings. I have not used yet I am in the middle of a build but I just wanted to say so far these are killing it on looks and form factors. and they look be very well made as well., haven't put them to the rest get but I will for sure be updating if anything changes in the build.,,None,None
9SIA9AB3VB4055,2YM-000S-00089,7/13/2016 2:14:18 PM,Matthew G.,Beautiful Anodized Purple...,5," No leaks (I had a small leak at the pump/res but that was my own fault for not tightening the base part enough before putting the tubing in). Great flow. Coming from 3/4""OD 1/2""ID soft tubing I was surprised that my cooling actually improved with this tubing. It's just a little smaller ID but it appears to be a lot smaller because of the thickness of the tube. The flow rate must have sped up or something because my temps are about 8-9 degrees cooler on the CPU and the about the same on the GPU. Works out well as my CPU was already at the comfort zone limit of 80-84 degrees. (now 75). I was about to buy another radiator but now I can wait until I get a second GPU.", It's hard to see the grooves on the bases that allow for tightening in tough spots. I had to use a wrench to snug up the pump fitting as the casing covers much of it and you cannot get a good grip. Look close and you will see flat spots on bases for this.," Great product, looks good I'm very happy.",None,None
9SIA9F93KG2767,2YM-0007-000B2,1/1/2017 8:00:47 AM,dave w.,good and cheap,5, cheap, the length of the tube is too short when u put a fitting on the end to swivel the handle all the way open,,None,None
9SIAAXT4TJ7101,2YM-0012-00007,1/31/2017 7:04:50 AM,Jeff A.,Danger,1," None. I promise you this device will NOT keep your cpu cool. I switched from an Intel BXTS13X water cooling block and fan to a custom loop with this as the cpu cooler, big mistake. The gpu's in the loop stayed at 60c but my cpu temps rose to over 80c and continued to climb before I shut the system down. Upon removal of this device I could plainly see that I had plenty of thermal paste in a perfect pattern on the cpu. The temps got high because this device does a poor job of wicking heat away from the cpu."," A cpu cooling block that does NOT cool the cpu. What else needs to be said, except, DO NOT PURCHASE THIS PRODUCT!!! it does not work.", It gets one egg because I cannot give it the Zero eggs it deserves. Warning!! do not purchase this product!,0,2
9SIA9F93H45725,2YM-0007-00071,10/7/2016 9:57:17 PM,Kevin C.,Excellent,4, Fits in my case. UT 60 thickness at 280mm. Loves in. Temps on 6850K idle at 17C. Heavy metal," For whatever reason they only included 4 tiny m20 screws that could actually attach to the radiator, Left me scrambling to male it work."," Great product with great performance, all the caps are included. But those fan holes are microscopic and they don't provide enough. They are M20",None,None
9SIA9F93ZD0978,2YM-0007-000V4,1/12/2017 11:15:32 PM,Adam H.,"Great reservoir, but only if you replace the LED holder caps",2," Nice build quality on everything but the plastic LED holder caps.  Holds a decent amount of water.  Mounts easily to 140 or 120mm fan mounting points.  Several options for in and out flow routing.  Acetal material feels high quality, and the wall of the reservoir tube is thick and durable feeling."," LED holder caps are fragile and can crack and leak.  I had an LED holder cap fail on my previous XSPC pump/res and leak on me.  Luckily I had a spare (they included one in the box for some suspicious reason) and with the reservoir mounted at the bottom of my case, it just leaked onto the floor where I have a plastic mat.  Anyways, the pump eventually failed so I replaced it with what I thought would be a better reservoir, this one.  However, within a few weeks of setting it up (and leaving it run unattended while I left for Christmas) I came back to a half empty reservoir and green crud all over the bottom of my case as it leaked out a ton of fluid and eventually my PC overheated due to lack of flow.  The culprit was the plastic LED holder end cap, which had cracked along the thread allowing water to leak out.  I tried filling it up and leak testing and it just leaked it all out again, so I pulled the cap out and sure enough, split clean around the threads."," Luckily, I had some spare metal caps from my GPU waterblock that fit the same hole size as the plastic LED caps.  I removed both for good measure and threw them in the trash where they belong.  The metal ones fit tightly and don't show any signs of leaking after a week of use.I seriously don't understand it.  I'll be the first to admit that LED lighting looks awesome.  I have my desk decked out in RGB peripherals and light strips.  However, a reservoir's prime objective is simple - hold water, don't leak.  If you build it with parts that compromise those objectives you're doing it wrong.  Thin weak plastic is a horrible material for building screw in threads out of, as if you overtighten them they crack, if you don't tighten enough they leak.  The hole for the LED further compromises their structural integrity.  I despise those stupid LED holders.  Please Alphacool, at least throw in two extra metal caps so we can replace those horrible plastic things with durable metal ones before accidents happen.I'm happy with what I have now, but I wish I didn't have to clean up a huge mess to find out what modification I needed to make to get to this point.  Luckily I still mounted it below all my components because if it's going to leak, it's best to leak on the floor than on my expensive parts.",None,None
9SIA25V35P2622,12K-00RH-00007,2/18/2015 9:37:59 PM,Justin E.,Hydro Series H110 CPU Cooler,5," Easy set up,Bang for buck,Zero problems,Looks nice.", Instructions are not very good., My other rigs have custom loops but i more so wanted a bang for buck and a quick install. I've owned one other cooler master closed loop cooling solution in the past and this far surpasses it.Makes me think twice about spending upwards of 1k on a custom loop solution when i can get this good of performance at such a low cost. Even if you are going to go with a custom water cooling solution this is nice to have kicking around in case you have a pump go on you or something.,1,1
9SIA9AB3S61743,2YM-000S-00036,10/18/2016 2:30:26 PM,Anonymous,"Good product, good reseller, good candy",5," Shipping was quick and efficientIt was red and tubular as expectedBonus, came with treatment chemicalsBonus2, free candy!", Only one piece of candy :(," package came with one individually wrapped Sour Patch Kid™, was delicious",None,None
9SIA9AB3S61719,2YM-000S-00014,5/3/2016 6:29:03 AM,Richard P.,Great Product really clear with no scratches,5, The product looked as good as glass, First time working  with water cooled hoses but I could no find anything wrong with the product," I thinks,  I would but the same tubing again but it depends on the type of coolant I use and the reaction it has on glass...",None,None
9SIA9F93HE4420,2YM-0007-00093,6/16/2016 8:56:53 AM,eric d.,Dissapointing,1, comes with coolant and decent compression fittings, one of the fans was dead and the reservoir and pump top had an offset to each other making it difficult to slide in the drive bay....i had to do a little grinding in my case to make it slide in and out like its suppose to., I've played with a few entry level custom waterloop kits and by far this one was the most disappointing......i didnt make any gains in temp either going against an evo,2,5
N82E16835106352,35-106-352,2/24/2016 12:53:13 PM,Tim F.,Pay attention,3, We will see once I finish my build," Ships with blue liquid,but red accents on fans and rad.  Description says blue fans and blue accent rad, this is not so.", I will update this review once I have finished my build. This is more of a content delivery review at this time,3,9
9SIAAXT4PR3700,2YM-000M-00088,12/11/2016 4:24:29 PM,Dustyne B.,Leaky,1, -Lights," -Installed this in my customer water loop on my first Water-cooled PC build. Immediately it began to leak at the point where both the lines threaded in. At first I thought maybe my fittings were loose, but grabbed a pair of pliers and tried to tighten them down, to no avail. The flaw in the design comes from the fact that the plastic that hooks the entire block onto the motherboard is not a solid piece with the part that rests on the CPU itself. My plastic ended up being cut an half CM too tall, which in turn caused the fittings to not be able to screw in as far as they should be, leaving area for a small leak.", Would I recommend? Nope.,None,None
N82E16835103232,35-103-232,2/18/2017 11:49:54 PM,Teddy L.,Nice LC,5," Ive never had a LC before, in fact this is my first PC build. Did plenty of research and ended up with this product. Very large but fits well in my case"," Minor con, the screws that mount the fan, the head of the screws can touch one of the RAM sticks. Not to much but it does touch, i recommend replacing those with a flatter head and washer, its an easy fix.", Id recommend this product.,None,None
9SIAAXT4PR3677,2YM-000M-00032,2/6/2017 2:02:17 PM,CHRISTOPHER F.,"Effective but where's the ""Pro""?",4," Does its job, cools the CPUBlack body and copper color looks great", Doesn't perform as well as the regular RayStorm CPU block," XSPC RayStorm Pro WaterBlock is great to look at and performs pretty well. I replaced my XSPC RayStorm WaterBlock with the ""Pro"" version after one of the mounting bolts snapped on the original. I could have just bought a mounting kit but decided the black finish on the ""Pro"" version fit my build color scheme better. I quickly noticed that my CPU ran at idle about 2C higher with the ""Pro"" version. I am not sure why this is the case but nevertheless, it is. 2C doesn't seem like a huge deal but for the extra cost, I expected better performance, not worse. If you are looking for an XSPC RayStorm waterblock, I would recommend going with the standard acrylic version bases solely on my experience. I do recognized this could just be an anomaly in my case. Do your research and check other reviews before you buy.",None,None
9SIA85V5577070,2YM-000M-00095,1/26/2017 10:27:16 AM,Josh B.,"Good instructions, Great starter kit for newbies to watercooling",5," Easy set up, good parts. AMD/INTEL inter changeable. You will have a lot a spare parts to work with.", If you don't have a 3.5 bay you will have a tough time getting the motor and reservoir mounted., Great to start Water cooling with this kit.,None,None
9SIA66Z38H2970,2YM-0002-00011,1/27/2016 7:10:27 AM,Anonymous,Great but..,4, it works.  Look great in my system no real issue installing.," The tubs suck, definitely need replace once you get it.It seem like Rajinteck company only want people to use their fitting.  Took a little work for me to put the Bitspower or Primochill to replace the fitting on the pump/reservoir.  I want to change the fitting on their radiator but was unsuccessful in doing so.", So far no leaks yet but will update when I do get it.,1,1
9SIA4RE4YN6511,2YM-0006-00001,4/15/2016 12:40:01 AM,Preston C.,No one had balls to get it but I did,5, -Easy install self explained-Digital Reading from heat sink-Easy overclocking OC i5 6400 to 4.0 Ghz @ 49 C on load-Industrial feel smells like fresh tires., -took 22 days to get it from china-instructions are vague-digi display isn't accurate but with algebra you can get the average temp reads -cant tear the digital temperature," Never had a liquid cooling device, this one seems to do a better job than most standard heat sinks my cpu stock was 32 c on load so it must work really well.",3,3
9SIA85V3SS0908,2YM-000P-00003,7/31/2016 3:19:11 PM,Lynn B.,"Simple, compact and stylish AIO",4," This AIO is really on the level of an open loop cooling system given the high quality Apogee XL waterblock and the addition of a reservoir that allows you to check the water quality and to see if any air bubbles are forming in the coolant.The tubing is flexible and difficult to kink, and even with my compact setup the excess tubing was manageable. Also the black atheistic of the tubing, radiator and block will likely not clash with many case's colorschemes. The system itself was moderately easy to refill or top off and burp, though little room was left for adding dyes or what you may need, so expect a little air if you drain some of the coolant  without properly topping it off and burping any air out.The waterblock has an LED backlight that comes with 4 different colors to choose from, white, blue, green and red, to help accent a few common colorschemes found throughout component manufacturers.- it's worth mentioning that these are physical plates that need to be interchanged and not some sort of color changing LEDs as like what is found in the reservoirs of Swiftech's X2 line of AIOsFor a 140mm class radiator, its seems to do very well at rejecting heat in the stock push-fan setup, though the fins are more spread apart compared to what I'm used to. While cooling a G3258 overclocked to 4.9 GHz at stupid high voltages, I was able to run prime 95 for a few hours without core temps going over an average of 74C, and the radiator itself was no warmer than 40C to the touch. This performance is likely due to the unexpected airflow I got out of the Swiftech Helix 140 PWM fan, which is rated for about 90 cfm at full tilt, which I personally find to be incredibly quiet for the amount of air it claims it can move.- I intend to upgrade this to a noctua NF-A14 3000 PWM fan once I start testing with my 4690K and 4790K processors around 5 GHz, just for added performance in cooling the limited amount of coolant in the system (about 7-8oz from when I cleaned mine out)."," First and foremost, when I got this AIO I was appalled at what I saw in the reservoir, what looked to be a full coating of algae on everything visible even most of the viewing window. Upon emptying the contents the waterblock was gunked up and the coolant came out an off-red/brownish color. I believe it's supposed to be clear.- I had purchased this unit directly through swiftech, so if anyone else gets one in such condition, don't blame newegg or whoever the seller may be and call swiftech if you are not comfortable changing the coolant and cleaning the block and don't want to void any warranties (there are lots of videos on cleaning waterblocks throughout youtube and please be advised to not allow much contact with skin or tap water and any of the copper and also disassembly does void the warranty as far as I can tell)The Apogee XL waterblock was my main reason for purchasing this setup and performed well, noticeably better than the Apogee HD, but its material quality is a huge step down form the HD. Though LED lights and swiveling barbs are nice, they don't make up for the cheap plastic that most of the block seems to be made out of. When removing the baseplate I was shocked to find tapered wood screws coming out of block and not machine screws.When I went to reassemble the block I found that no two screws set themselves in the same despite being all the same length, and I even managed to strip two out which was a pain and a half to repair (I suggest using plastic weld to fill the hole and retapping it with the screw and a bit of elbow grease) - This is fine for an AIO, but the swiftech HXX0-X series is really great for being upgradable systems which always spells out the need to clean the loop from time to time, and I cannot suggest the XL is a good block for such demands. Perhaps the Apogee XL2 found in the H2X0-X2 or H320-X2 might be a better option, but it looks to also be made mostly out of acrylic.The reservoir also doesn't allow for a push-pull fan set up to be run since it and the pump take up a third of the area under the radiator and seem to create some deadzones for airflow.One last little nit-pick I had with the system is the coloration. Two, of the four, color plates glow slightly off; the green being a bit spring-green/yellowish and the red being a bit orange in color, noticeably so even to a guy who has a hard time discerning red from red-orange. These plates may also stick inside a bit and can be tricky to pull out, that or I missed some tool to aid in the process. Also the reservoir LED color is white, no changing that at all without using some really potent dies, the red coolant I added to my system is almost unnoticeable and looks clear."," One comment I need to make is on the size of the waterblock, it's big, not compact like what you find on a corsair AIO, so theres a lot more surface area for cooling, but this might lead to some fitment issues. I wasn't able to run direct die cooling since the plate ran into the caps surrounding the processor, but I think this will be a non-issue for most but may pose some fitment issues on smaller motherboards with the use of RAM with heatsinks or additional coolers.I would suggest buying an H220-X(2) or H240-X(2) if your case has the room, just simply because of the ability to run part of the radiator as a push-pull setup and leave less deadzones.That being said, if you're looking for a good method to cool a 105-140W processor you won't be overclocking or for a good starting point in a custom loop but want to jump right to watercooling your system before working out all the rads, blocks, tubing, mounting and other components then I think you will do well to purchase this AIO.One last note, the radiator is tall and the tubes don't go directly into it, so some adjustments may need to be made to prevent kinking in tight setups. I, personally, mounted the radiator directly to the case's grill with the fan on top on the outside of the case.",2,2
9SIA6ZP56T3676,35-106-412,12/19/2016 7:03:18 AM,Target C.,Buyer Beware!  Dont use Thermaltakes C1000 Coolant.,2, Came in and worked well and quietly.  Tube bending took some time but isn't all that hard.," The C1000 Coolant seperated and clogged up the CPU Waterblock and the pump to the point that now the pump itself sounds like its cavitating, its definitely struggling and its very loud now.  If you put your finger on the CPU waterblock you could feel a huge vibration from the coolant die that had seperated clogging the small fins inside the waterblock.  Very unhappy that I had to spend all this time to break down my loop and backlush everything to try to get the gunk out of all the parts.  Now the pump is still loud so not sure how much longer that will last."," the loop itself works fine,  The pump works fine as well,  My bad review is to the Coolant that it says to use.  Thermaltake's Native C1000 Coolant.  It seperates and clogs all the parts within a few weeks and you will have to tear everything down to get it out.  If I could attach pictures I would show it.   Just stay away from the coolant.",1,1
9SIAC8W4Z05631,2YM-0010-00027,1/12/2017 11:28:58 AM,JOSEPH E.,The cooling is strong with this!,5, Contains everything you need to set up your own full custom loop., None," This kit was my first foray into custom loops, and I have to say I never imagined it'd be so much better than an AIO. This thing knocks the socks off the corsair H110i I had on my i7 5820k.For comparison - on the H110i with the 5820k overclocked to 4.3GHZ temps peaked at 76c on my chip. With the X360 I have yet to see over 60c.  The H110i sounded like a jet engine. This thing is whisper silent. It's PWM - all of it (except the pump, it can run PWM signal, but is molex powered). So you get the best combination of cooling and noise. Plus it looks sweet!",10,10
9SIA0AJ58D4622,35-220-080,12/11/2016 7:03:23 AM,Anonymous,Watercooling in a SFF build.,5, The build quality is quite good. I also have another 120mm AIO. Silverstone offers better quality on the radiator. The pump is made out of all metal instead of plastic cover. The performance is in line or slightly better than other generic 120mm AIO. The tube are not too stiff., Fans are a bit noisy.,,None,None
9SIA9F93XS5785,2YM-0007-000V1,11/20/2016 2:55:47 PM,Michael W.,"Wow, well built stuff! ModMymods great reseller.",5, Was not expecting the full copper lining fairly clean polish level (same for straight barb) and the swivel is smooth and without leaks in all the 7 units I have on my custom loop," The only con I can come up with is the coupling method, it's a knurled edge nut rather than a hex shape nut.I would have preferred a hex nut."," And love Alphacool, but why sky blue, gunmetal or flat black maybe white ... or ... red ;)",None,None
9SIA9F93XS5785,2YM-0007-000V1,9/26/2016 10:09:05 PM,Gari B.,PERFECT FIT,5," - Fit's perfectly with G1/4"" threads and my 7/16"" ID, 5/8"" OD Tubing- The O-Ring makes a huge difference in providing an adequate seal to prevent leaking", - There could be more threading on it to allow for easier tightening., - Don't forget to tighten the fittings after making them fingertight. I had to use locking pliers to twist them on snugly to prevent leaks- Always use a clamp with your hosing as added protection,None,None
9SIA66Z38G8209,2YM-0002-00006,2/24/2016 10:16:32 AM,Anonymous,crap,1, good cooling on the cheap," it was rather hard to install in my case, and when I got it (just opened the box) one of the fittings was lose."," after 2-2 1/2 months this thing cracked on the outside and on the inside acrylic  that housed the pump, it ran down the side of the res  and ruined my mother board. I found upon the quality  of this product  that I had high hopes for.",1,1
9SIA66Z38G8209,2YM-0002-00006,1/15/2016 2:11:20 PM,Michael M.,Beware,1," Self Contained, easy set up, a good looking cooling solution. I found that it was cracked before it leaked all over my graphics card."," The Acrylic that makes up the body is cracked on 3 of the 4 sides. This occurred since 10/15 when I bought it, and today is 1/16 exactly 90 days after purchase. This also has had very little use. It was installed late October on a PC that I was rebuilding. The MB was faulty and had to be replaced. This Triton was only operated for less than an hour and sat idle till today. I finally got around to putting my PC back together and this is what I have to show for it. It is useless since its bulging. So there was no excessive heat from the CPU, or any over tightening or any other excuse."," I wanted to like this Triton. Unfortunately the acrylic used in my unit wasn't up to the task of NOT cracking. I don't recommend this product for that reason. You may get lucky with your purchase and get good performance, or end up with cracks in the cooling block. I'm not risking a leak on to my 980 ti. I didn't want to even give this thing even 1 star  Find something else is my recommendation",2,2
N82E16835220110,35-220-110,12/30/2015 10:25:20 AM,Christie K.,Not compatible with 2011-v3,1," None for me, I got charged a restock fee and am not pleased."," It appears that the screw holes are placed in front of the radiator, so screwing in the fans and attaching the radiator to the case will likely damage the radiator a bit.",,0,2
N82E16835220110,35-220-110,12/14/2015 5:12:01 PM,Paul M.,great cooler,4," Cooler is great for the silverstone ML07, and small factor cases, kept temperatures in ML07 at 31 degrees Celsius", mius one egg for the backplate being plastic the screws if turned to hard run it down.," not a con tubing is thicker than the h80i.making it harder to make it fit in the ml07 but even with tubing over the whole motherboard temp stable at 31 Celsius and 50 Celsius gaming, using a skylake processor.",1,1
9SIA9F93E47952,2YM-0007-00001,11/19/2016 7:18:25 AM,Jason F.,Great Product. Love the way it looks and performs,5," Quiet, easy to install, great looking, space saving.", Needs more fittings., I highly recommend this product. For the Price its a great start that offers a lot of room to expand later.,None,None
9SIA9F93E47952,2YM-0007-00001,2/14/2016 11:26:51 AM,Jessie H.,easy to install,5, keeps my fx9590 nice and cool i got this oct of 2015, no problems so far,,1,2
9SIA7HN50G7278,2AM-003A-00001,11/29/2016 9:01:28 AM,Terry C.,So far so Good,5," This unit has been good so far. Keeps a heavily overclocked I5 4690K  to just 58 degrees under full load, Prime 95 stayed stable on a 12 hour burn, with no temps exceeding 58c. I haven't tried to run the stock fans that came with this unit will have to do that to get an overall feel for the units cooling capabilities."," None so far, I may have some cons when I test the stock fans that came with the unit, until this is done and results are disclosed, I personally at the time of writing this have no cons."," This unit works well with Thermaltake RIING fans.  Will be testing it with its STOCK fans, Coolermaster R4 Sickleflows, Corsair SP LED fans, Noctua NF-F12s and a laundry list of other fans to get the overall average cooling of this AIO unit.",2,2
9SIA7HN50G7278,2AM-003A-00001,5/21/2016 6:43:23 PM,Robert S.,ENERMAX LIQMAX II ELC-LMR120S,5," Installation only required swapping out the pre-installed INTEL mount to an AMD mount which is provided. From there it is an easy bolt-up, working from the backside of the motherboard for the new CPU mount, and then sandwiching-in the radiator between the 120mm cooling fans!",  No cons," The unit appears to be of Enermax high-quality standards! Well...after several days of normal service and then another full day of testing with 3DMark Vantage and PCMark stress tests, I am glad to report that this AIO cooler has performed exceptionally well! Only under severe loads does the CPU fan increase in decibels / RPMs...but this can also be controlled with an aftermarket fan controller. However, this product does its job and I have purchased two more. This AIO liquid cooler performs as advertised and I have since purchased two more. The best advice I can give when mounting the CPU assembly to the back plate (Backside of the motherboard) is to put tape across the base plate holes, then punch the screws through the tape and this will help hold them while you attach the hardware on the front side of the motherboard!",4,4
