,ltable_ASIN,rtable_NID,predicted
308,B002B3YCQM,9SIA4RE2CY9895,1
309,B002BZL42K,9SIA0AJ4122798,0
310,B002BZL42K,9SIA1N82M64384,0
311,B002C7489S,9SIA4RR1X92549,1
312,B002CIKNBY,9SIA0AJ2YT4647,0
313,B002EL4MXY,9SIA4HG1K49156,1
314,B002FO6VTI,9SIA6393T04525,0
315,B002FYL7PG,9SIA7HN5AC8618,1
316,B002G1YPH0,N82E16835103182,0
317,B002GJLUG6,9SIA6393S85148,0
318,B002HWJT1A,9SIA4M54TG7086,1
319,B002HWRJY4,9SIA0AJ34R2494,0
320,B002HWRJY4,N82E16833122536,0
321,B002I9L3X4,N82E16829128013,0
322,B002KCNYV8,N82E16811517004,0
323,B002KG0JOE,9SIA4A03X69441,0
324,B002KG0JOE,9SIA5AD4AZ7303,0
325,B002KQ5KDY,9SIAAEE4M23192,1
326,B002KQ5KE8,9SIABRA4T48184,1
327,B002KQ5KEI,9SIA6393S22291,0
328,B002LZ1FPG,N82E16820145258,1
329,B002O0KKBS,9SIA1N83TV6236,0
330,B002OB49SC,9SIA0AJ1BU7722,1
331,B002ONCBXU,9SIA4P02JS6218,0
332,B002ONCBXU,9SIA9JJ4NW3654,0
333,B002P3KO7O,9SIABZ053E9630,1
334,B002Q2M8KK,9SIA2F84D69453,1
335,B002Q2M8KK,N82E16811133196,0
336,B002Q2M8KK,N82E16811133212,0
337,B002Q4U5DK,9SIA4RE2X62744,1
338,B002Q4U5DK,9SIA4RE4030767,0
339,B002Q4U5DK,9SIA4RE4638548,0
340,B002Q4U5DK,9SIA9JN3FY0108,0
341,B002Q4U5DK,9SIA9JN3RT3522,0
342,B002Q4U5DK,9SIA9JN41C0914,1
343,B002QEBMCI,9SIA0AJ1JD9678,0
344,B002QOUH42,9SIA19P3SE0988,0
345,B002QOUH42,9SIA1K64147574,0
346,B002QOUH42,9SIA1K64A32652,0
347,B002QOUH42,9SIA1N82KJ4649,0
348,B002QQ8EKO,9SIA5E63E95964,1
349,B002RWJHBM,9SIAAEE3ZZ7628,1
350,B002SAJCYU,9SIA4RE5082082,0
351,B002SAJCYU,9SIA4RE5087138,0
352,B002SAJCYU,N82E16823175012,1
353,B002SRQ214,9SIA6393T04906,0
354,B002T3RJPA,N82E16828115560,1
355,B002T3RJQ4,9SIA6AU4SX4255,1
356,B002V2R8VY,9SIA1K64284992,0
357,B002V2R8VY,9SIA85V3S29358,0
358,B002V2R8VY,N82E16820231274,0
359,B002V2R8VY,N82E16820231275,0
360,B002V2R8VY,N82E16820231276,0
361,B002V2R8VY,N82E16820231278,0
362,B002V2R8VY,N82E16820231308,0
363,B002V2R8VY,N82E16820231313,0
364,B002V2R8VY,N82E16820231315,0
365,B002V2R8VY,N82E16820231359,0
366,B002V2R8VY,N82E16820231402,0
367,B002V2R8VY,N82E16820231416,0
368,B002V2R8VY,N82E16820231425,0
369,B002V2R8VY,N82E16820231426,0
370,B002V2R8VY,N82E16820231427,0
371,B002V2R8VY,N82E16820231429,0
372,B002V2R8VY,N82E16820231440,0
373,B002V2R8VY,N82E16820231445,0
374,B002V2R8VY,N82E16820231455,0
375,B002V2R8VY,N82E16820231468,0
376,B002V2R8VY,N82E16820231476,0
377,B002V2R8VY,N82E16820231489,0
378,B002V2R8VY,N82E16820231538,0
379,B002V2R8VY,N82E16820231544,0
380,B002V2R8VY,N82E16820231546,0
381,B002V2R8VY,N82E16820231666,0
382,B002V2R8VY,N82E16820231689,0
383,B002V2R8VY,N82E16820231718,0
384,B002VAD716,9SIA0AJ4122798,0
385,B002VAD716,9SIA19P3SE0988,0
386,B002VAD716,9SIA1N82KJ4649,0
387,B002VAD716,9SIA1N82M64384,0
388,B002VAD716,N82E16829132020R,0
389,B002VAD716,N82E16829132053,0
390,B002VJL0OS,9SIA5CJ1NG1630,1
391,B002VPU9E4,9SIA1N83Z86921,0
392,B002VPU9E4,9SIA91J43P4751,0
393,B002VPU9E4,N82E16828112550,0
394,B002WBX7TQ,N82E16833704037,1
395,B002WBX7TQ,N82E16833704039,0
396,B002Y4Z2D0,9SIA0AJ2KT8040,0
397,B002Y4Z2D0,9SIA0AJ2MH2159,0
398,B002Y4Z2D0,9SIA1CZ2504045,0
399,B002Y4Z2D0,9SIA1CZ3VU5214,0
400,B002Y4Z2D0,9SIA1UH3719767,0
401,B002Y4Z2D0,9SIA61K42T7279,0
402,B002Y4Z2D0,N82E16828112465,0
403,B002Y4Z2D0,N82E16828112466,0
404,B002YUF8ZG,N82E16820145281,1
405,B002ZHJ4MQ,9SIAC335988661,1
406,B00307RLZC,9SIA0AJ3T10293,1
407,B0030DL3FU,9SIAAEE4M23185,1
408,B0030DN1GO,9SIA6393S22291,0
409,B0030DN1GO,9SIAAEE4M23272,1
410,B0031M9QXQ,9SIAAEE4M23190,1
411,B0031M9QZ4,9SIAAEE5811738,1
412,B0031WU8XS,9SIA0AJ2RP9066,0
413,B0034ADOB0,9SIA1N83YW7759,0
414,B00350O5DK,9SIA4RE4RT3410,0
415,B0035FIS2Y,9SIA24G28M7623,0
416,B0036TGGJQ,9SIA0AJ24N0940,1
417,B0036TGGVO,9SIA0AJ2979865,0
418,B0036TGGVO,9SIA9JJ48C0720,1
419,B0036TGGVO,9SIACNF57Y3380,1
420,B0036TGGW8,9SIA0AJ2TS0303,1
421,B0036TGGW8,9SIA6TP2P34917,1
422,B0036VO632,9SIA0AJ2TH0534,1
423,B0036Z6GH2,9SIAAEE5811739,1
424,B00372YKMM,9SIA0AJ2SN4291,1
425,B0037AKXKM,9SIAB7G4887818,0
426,B0037HPZAI,9SIABB75BM2866,1
427,B00387G6R8,N82E16833320038,1
428,B00390P1NO,N82E16817151094,0
429,B003A5UVOC,9SIA2F84FW9932,0
430,B003AVN6C0,N82E16826140057,1
431,B003AYMCJA,9SIA0AJ17S4938,0
432,B003AYMCJA,9SIA0AJ2VY0817,0
433,B003BFNYK4,N82E16813157499,0
434,B003CKYKME,9SIA24G28N2645,1
435,B003CP0BHM,9SIA4RE5082089,0
436,B003CP0BHM,9SIA4RE5082090,0
437,B003CP0BHM,9SIA4RE5082094,0
438,B003CP0BHM,9SIA4RE5083743,0
439,B003CP0BHM,9SIA4RE5084531,0
440,B003CP0BHM,9SIA4RE5084556,0
441,B003CP0BHM,9SIA4RE5084825,0
442,B003CP0BHM,9SIA4RE5085146,0
443,B003CP0BHM,9SIA4RE5086584,0
444,B003CP0BHM,9SIA4RE5086614,0
445,B003CP0BHM,9SIA4RE5086783,0
446,B003CP0BHM,9SIA4RE5086999,0
447,B003CP0BHM,9SIA4RE5091121,0
448,B003CP0BHM,9SIA4RE53D8187,0
449,B003EKT9NM,9SIA2F84D68892,0
450,B003EKT9NM,9SIA2F84D69348,0
451,B003EO328Q,9SIA1K653W8752,0
452,B003EO328Q,9SIA1N834S0399,1
453,B003EO328Q,9SIA4YU2AB9478,0
454,B003EO328Q,9SIA4YU2AB9483,0
455,B003FW9T0M,9SIA67S21C0634,1
456,B003HE260I,N82E16817151095,0
457,B003HIXGVW,9SIAAEE4M22680,1
458,B003INIZMG,N82E16826146014,1
459,B003L62T86,N82E16826104379,1
460,B003LD07LU,9SIA6393S22291,0
461,B003LD07LU,9SIAAEE4M10770,1
462,B003LPTAYI,9SIA4P01VR6933,0
463,B003LPTAZ2,9SIA2F83B85472,0
464,B003M7BLOW,9SIA6393SG0767,0
465,B003MVKX6K,9SIA4RE4SP1763,0
466,B003N8GVUY,N82E16820145315,1
467,B003NR57BY,9SIA13X4B15685,1
468,B003PFN78O,9SIA4RR1GP9961,0
469,B003RIPMZU,9SIA0AJ1776248,0
470,B003SANWI6,9SIA9SC4NS9855,1
471,B003ST7RXI,9SIA0AJ2KT8040,0
472,B003ST7RXI,9SIA0AJ2MH2159,0
473,B003ST7RXI,9SIA1CZ3VU5214,0
474,B003ST7RXI,9SIA1UH3719767,0
475,B003ST7RXI,9SIA61K42T7279,0
476,B003ST7RXI,N82E16828112465,0
477,B003STDQQU,9SIA1N829T6226,0
478,B003STDQQU,9SIA4P03GA4967,1
479,B003STDQQU,9SIA4RE4PR6823,0
480,B003STDQQU,9SIA7XZ3PW4402,0
481,B003STDQRE,9SIA1N829T6226,0
482,B003STDQRE,9SIA4RE4PR6823,0
483,B003STDQRE,9SIA7XZ3PW4402,0
484,B003TLY9UO,9SIA3912DB1809,1
485,B003TWO8JA,9SIA9SC4RS1207,1
486,B003U3TT4C,9SIA4RE4TZ2154,0
487,B003VANRAQ,9SIA6393S22291,0
488,B003VANRAQ,9SIAAEE4M23184,1
489,B003VITYP0,N82E16835106152,1
490,B003VIXT38,9SIA7GA38J6393,0
491,B003W3P8GI,9SIA0AJ18G6908,0
492,B003W3P8GI,9SIA0AJ1BU7722,0
493,B003W3P8GI,9SIA0AJ25B3476,0
494,B003W3P8GI,9SIA3FA36D7258,0
495,B003W3P8GI,9SIA4P03S12378,0
496,B003W3P8GI,9SIA4T01GT2711,0
497,B003W3P8GI,9SIA4T01GV1405,0
498,B003W3P8GI,9SIA4T01H60813,0
499,B003W3P8GI,9SIA4T01H73207,0
500,B003W3P8GI,9SIA6AH20Y2815,0
501,B003W3P8GI,9SIA6AH2SS7219,0
502,B003W3P8GI,9SIA7U13RH9242,0
503,B003W3P8GI,N82E16822235151,0
504,B003X1SBIQ,N82E16820220618,0
505,B003XEETFW,9SIA4RE4TZ2154,1
506,B003Y5RYNY,N82E16833704050,1
507,B003YKX6KO,N82E16882203100,1
508,B003YVAMJQ,9SIA5AD2YK8509,0
509,B003YVAMJQ,9SIA5AD5BB3757,0
510,B003YVAMJQ,9SIA67S2G23671,0
511,B003YVAMJQ,9SIA67S2GV2899,0
512,B003YVAMJQ,9SIA67S2N05847,0
513,B003YVAMJQ,9SIA67S3N30700,0
514,B003YVAMJQ,9SIAAEE3WC4137,0
515,B003YVAMJQ,9SIAAEE3WF4427,0
516,B003YVAMJQ,9SIAAEE3ZZ7628,0
517,B003YVAMJQ,9SIAAEE4TK3620,0
518,B003YVAMJQ,9SIAAEE4TK5113,0
519,B003YVAMJQ,9SIAAEE56H3730,0
520,B003YVAMJQ,N82E16822148321,0
521,B003ZJ5B4I,9SIA2F84139556,0
522,B003ZJ5B4I,9SIA4M55238783,0
523,B003ZJ5B4I,9SIA4RE4T19892,0
524,B003ZJ5B4I,9SIA4RE4T21142,0
525,B003ZJ5B4I,9SIA4RE4TS1023,1
526,B003ZJ5B4I,9SIA4RE4TS1058,0
527,B003ZJ5B4I,9SIA66T3MZ1252,0
528,B003ZJ5B4I,9SIA9K857G1991,0
529,B003ZJ5B4I,N82E16823114048,0
530,B003ZJ5B4I,N82E16823114070,0
531,B003ZWQXUQ,N82E16817151074,0
532,B003ZWQXUQ,N82E16817151097,0
533,B003ZXDOL6,9SIA1K029P6259,0
534,B003ZXDOL6,9SIA1N82M64384,0
535,B003ZXDOL6,N82E16829132020R,0
536,B00419ZUPQ,9SIA0AJ5951710,1
537,B0041A3LJC,9SIA7HN50H1918,0
538,B0041A5KJ6,9SIA1N82KJ2058,0
539,B0041A5KJ6,9SIA2F84FW9932,0
540,B0041OSAZI,9SIA0AJ12Z7130,0
541,B0041OSAZI,9SIA0AJ1T71105,1
542,B0041OSQBG,1E8-0006-000G9,0
543,B0041OSQBG,9SIA0AJ12E8618,0
544,B0041OSQBG,9SIA0AJ17D7895,0
545,B0041OSQBG,9SIA3TB1JE6631,0
546,B0041OSQBG,9SIA6AH2YP7156,1
547,B0041OSQBG,9SIA9DE3SA7968,0
548,B004275EO4,N82E16829102032,0
549,B0042A68R8,9SIAB8958T6054,0
550,B0042A7CAA,N82E16820145324,1
551,B0042AG9V8,9SIAAEE4BY2475,1
552,B00434UCDE,N82E16811146069,1
553,B00439GOL8,9SIA0AJ27Z0241,0
554,B00439GOL8,9SIA0AJ2TP5250,0
555,B00439GOL8,9SIA6AU56K5537,0
556,B00439GOL8,9SIA9JA4YH7163,0
557,B00439GOL8,N82E16828113975,0
558,B00439GOL8,N82E16828133822,0
559,B00439GOL8,N82E16828133824,0
560,B0043SSY6C,9SIA4P05727179,0
561,B0043SSY6C,N82E16828116433,0
562,B0043SSY6C,N82E16828118696,0
563,B004433XCQ,9SIA19P4AN7491,1
564,B0044DJZ0A,9SIABB74AK2666,0
565,B0044YG27I,9SIA1K64284992,1
566,B00450DVDY,9SIA0AJ27Z0241,0
567,B00450DVDY,9SIA0AJ2TP5250,0
568,B00450DVDY,9SIA0AJ5951725,0
569,B00450DVDY,9SIA6AU56K5537,0
570,B00450DVDY,9SIA9JA4KZ2360,0
571,B00450DVDY,9SIA9JA4N43729,0
572,B00450DVDY,9SIA9JJ3H17350,1
573,B00450DVDY,9SIA9JJ3YB3801,0
574,B00450DVDY,9SIA9JJ4FK5324,0
575,B00450DVDY,N82E16828113936,0
576,B00450DVDY,N82E16828113975,0
