_id,ltable_ASIN,rtable_NID,ltable_NAME,ltable_INFO,rtable_NAME,rtable_INFO,label
241,B001F4UBT0,N82E16828006536,lexmark c544dn color laser printer,15.8 x 16.7 x 11.5 inches 46.3 pounds 54.4 pounds b001f4ubt0 26c0000 3.0 out of 5 stars september 2  2008 none none,lexmark cs310n color laser printer,cs310n,0
250,B001GQFD68,9SIA24G31E0614,siig ic-400012-s1 dp soundwave 4 channel pci,2 x 6.8 x 8.8 inches 8 ounces 4.8 ounces b001gqfd68 ic-400012-s1 4.3 out of 5 stars september 26  2008 none none,siig dp soundwave 5.1 channels pci express x1 interface sound card,dp soundwave,0
390,B007W1KELK,9SIA4P05AZ3550,lexmark c746dn - color laser printer - 41g0050,21.8 x 23.1 x 21.5 inches 65.5 pounds 66.8 pounds currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b007w1kelk 41g0050 3.9 out of 5 stars april 26  2012 none none,lexmark cs410dn color laser printer,cs410dn,0
289,B00264GYMG,9SIAC354VG4278,klipsch image s4i premium noise-isolating headset with 3-button apple control,19 x 0.4 x 0.1 inches 0.5 ounces 3.5 ounces     klipsch b00264gymg imported  korea  republic of  image s4i 3.6 out of 5 stars april 18  2005 none none,klipsch image s4i 3.5mm connector canal in-ear earphone,image s4i,1
171,B000UCELXK,9SIAAEE4TK3654,seagate barracuda st3160815as 160gb 7200 rpm 8mb cache sata 3.0gb/s hard drive,5.8 x 4 x 0.8 inches 14.1 ounces 1.1 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b000ucelxk st3160815as 4.2 out of 5 stars december 19  2005 none none,"seagate barracuda 7200.8 st3250823as 250gb 7200 rpm 8mb cache sata 1.5gb/s 3.5"" hard drive bare drive",st3250823as,0
329,B003CKYKME,9SIA24G28N2645,belkin hdmi to hdmi cable  supports amazon fire tv and other hdmi-enabled devices   hdmi 2.0 / 4k compatible  6 feet,72 x 0.8 x 0.4 inches 4.2 ounces 2.4 ounces     belkin inc. b003ckykme china f8v3311b06 4.0 out of 5 stars june 19  2011 none none,belkin f8v3311b06 hdmi to hdmi cable  supports amazon fire tv and other hdmi-enabled devices   hdmi 2.0 / 4k compatible  6 feet,f8v3311b06,1
468,B00MFG58N6,N82E16828113975,brother mfcl2700dw compact laser all-in one printer with wireless networking and duplex printing,15.7 x 16.1 x 12.5 inches 24.9 pounds 30.2 pounds     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. b00mfg58n6 mfcl2700dw 4.1 out of 5 stars august 1  2014 none none,brother hl-l6200dw business laser printer with wireless networking and duplex printing,hl-l6200dw,0
355,B004H5YBU4,N82E16828112550,samsung color laser printer  clp-325w ,12.3 x 15.3 x 9.6 inches 24.2 pounds 28.9 pounds item can be shipped within u.s. this item is not eligible for international shipping. b004h5ybu4 clp-325w 3.3 out of 5 stars november 16  2010 none none,samsung xpress sl-c1810w/xaa wireless color laser printer,sl-c1810w/xaa,0
154,B000Q85WIQ,9SIAAEE4WT8534,"western digital caviar blue wd5000aakb 500 gb internal 3.5"" hard drive  bulk packaging ",4 x 5.8 x 1 inches 1.3 pounds 1.4 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b000q85wiq wd5000aakb 7025-01-580-6725 4.3 out of 5 stars september 14  2004 none none,"western digital blue wd5000aakb 500gb 7200 rpm 16mb cache ide ultra ata100 / ata-6 3.5"" internal hard drive bare drive",wd5000aakb,1
37,B00009ETM8,N82E16828006536,lexmark t634n laser printer,23 x 20.5 x 20 inches 49 pounds 50 pounds item can be shipped within u.s. this item is not eligible for international shipping. b00009etm8 10g0600 5.0 out of 5 stars april 26  2003 none none,lexmark cs310n color laser printer,cs310n,0
205,B001342KM8,9SIA6504T18674,crucial 2gb single ddr2 800mhz  pc2-6400  cl6 sodimm 200-pin notebook memory module ct25664ac800,b001342km8 4.7 out of 5 stars 0.3 ounces     september 14  2004 2048 mb ddr2 800 mhz crucial ct25664ac800 0.3 ounces 5.9 x 1.6 x 0.8 inches 5.91 x 1.57 x 0.79 inches 1 ddr2 sdram 1.8 volts,crucial 2gb 200-pin ddr2 so-dimm ddr2 800  pc2 6400  laptop memory model ct25664ac800,ct25664ac800,1
366,B004QM8J8S,9SIA9JA4MJ7634,brother hl-2280dw wireless monochrome multifunction laser printer,15.7 x 15.9 x 10.6 inches 22.7 pounds 27.2 pounds     brother printer b004qm8j8s made in usa or imported hl2280dw 4.4 out of 5 stars march 15  2011 none none,brother mfc-7860dw wireless monochrome multifunction laser printer,mfc-7860dw,0
240,B001F4UBT0,9SIA4P05AZ3550,lexmark c544dn color laser printer,15.8 x 16.7 x 11.5 inches 46.3 pounds 54.4 pounds b001f4ubt0 26c0000 3.0 out of 5 stars september 2  2008 none none,lexmark cs410dn color laser printer,cs410dn,0
108,B000I20IHA,9SIA9JN55R0093,razer tarantula gaming keyboard,16 x 6 x 0.6 inches 5 pounds 5 pounds item can be shipped within u.s. this item is not eligible for international shipping. b000i20iha rz03-00070100-r2m1 3.7 out of 5 stars september 13  2007 none none,razer deathstalker usb gaming keyboard,rz03-00800100-r3u1,0
45,B0000CD0BU,9SIA4RE4XA9790,creative labs sound blaster audigy2 zs platinum internal sound card  70sb035000003 ,14.7 x 9.2 x 3.8 inches 3.2 pounds 3.2 pounds item can be shipped within u.s. this item is not eligible for international shipping. b0000cd0bu 70sb035000003 7050-01-530-7395 3.8 out of 5 stars august 28  2003 none none,creative sound blaster audigy2 zs sb0350 7.1 channels pci interface sound card,sb0350,1
438,B00EGSGDXK,9SIA5AD3SC2092,western digital wd2500aakx caviar blue 250gb 7200 rpm 16mb cache sata 6.0gb/s 3.5 internal hard drive,8 x 6 x 4 inches 1 pounds 1 pounds     wd b00egsgdxk wd2500aakx - 9 4.9 out of 5 stars august 11  2013 none none,"western digital caviar blue wd3200aajs 320gb 7200 rpm 8mb cache sata 3.0gb/s 3.5"" internal hard drive bare drive",wd3200aajs,0
21,B00008XOKV,9SIA0AJ2KT8040,samsung ml-1710 laser printer,23.6 x 15.8 x 11.8 inches 8.8 pounds 19.9 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b00008xokv ml-1710/xaa 3.5 out of 5 stars yes march 21  2003 none none,samsung sl-m2625d/xac monochrome laser printer,sl-m2625d/xac,0
367,B004QM8J8S,9SIA9JJ3H17350,brother hl-2280dw wireless monochrome multifunction laser printer,15.7 x 15.9 x 10.6 inches 22.7 pounds 27.2 pounds     brother printer b004qm8j8s made in usa or imported hl2280dw 4.4 out of 5 stars march 15  2011 none none,brother hl-2270dw wireless monochrome laser printer,hl-2270dw,0
96,B000EV6H6G,9SIA4RE4VX3477,creative labs sound blaster audigy se,b000ev6h6g 3.3 out of 5 stars 8.5 ounces october 2  2001 creative labs 70sb057000001-ca 8.5 ounces 10.5 x 7 x 2.2 inches 10.5 x 7 x 2.25 inches none,refurbished  creative sound blaster audigy se 7.1 channels 24-bit 96khz pci interface sound card,sound blaster audigy se,1
233,B001E06VVM,9SIA85V4TW1125,700 watt - coolmax  partial modular power supply  cu-700b,5.9 x 3.3 x 5.6 inches 3.3 pounds 4.2 pounds     b001e06vvm cu-700b 3.6 out of 5 stars april 2  2008 none none,coolmax cu series cu-700b 700w atx12v sli ready modular and compatible with core i3/i5/i7 power supply,cu-700b,1
428,B00AIF3B5I,9SIABB74AK2833,canon imageclass lbp7110cw color laser multifunction printer,16 x 17.9 x 10 inches 36.5 pounds 50 pounds b00aif3b5i 6293b003 3.6 out of 5 stars april 25  2014 none none,canon imageclass mf3010 monochrome multifunction laser printer,mf3010,0
118,B000IJY8DS,N82E16812189136,link depot hdmi to hdmi cable 25 feet,10 x 2 x 10 inches 2.4 ounces 2.4 ounces     link depot b000ijy8ds imported  china  for proposition 65 warning hdmi-25-hdmi 4.1 out of 5 stars october 2  2001 none none,link depot hdmi-25-hdmi 25 ft black high speed hdmi to hdmi a/v cable - oem,hdmi-25-hdmi,1
124,B000IZC0GO,9SIA4RE4XW4450,creative labs sb0790 pci sound blaster x-fi xtreme audio sound card,11 x 2 x 8 inches 14.4 ounces 15.2 ounces b000izc0go 70sb079000000 3.8 out of 5 stars april 2  2004 none none,creative sound blaster x-fi xtreme audio 7.1 channels pci interface sound card,sound blaster x-fi xtreme audio,0
191,B0010GTAWW,N82E16828006537,lexmark e250d laser printer,17 x 16.7 x 16.4 inches 26.2 pounds 26.2 pounds     b0010gtaww 0.0 out of 5 stars august 29  2014 none none,lexmark cs310dn color laser printer,cs310dn,0
374,B005BRRFAK,9SIA9AX4SS5695,creative labs sb0200 sound blaster live! 5.1 pci audio sound card,4.8 x 4.2 x 0.7 inches 3.2 ounces 3.2 ounces creative labs b005brrfak sb0200 3.6 out of 5 stars july 8  2011 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
492,B01CQGT3TO,9SIA6393T04525,amd phenom ii x4 945 deneb 3 ghz quad-core cpu processor hdx945wfk4dgm socket am3 95w,6.5 x 3.3 x 1 inches 0.3 ounces 0.3 ounces amd b01cqgt3to 945 5.0 out of 5 stars march 9  2016 none none,refurbished  amd phenom ii x4 945 3.0ghz 4x512 kb l2 cache socket am3 95w quad-core processor  desktop cpu,x4 945,1
311,B002I9L3X4,N82E16829128013,startech.com 7.1 channel pci digital surround sound adapter card - 24 bit pcisound7,6.8 x 1.2 x 5.6 inches 2.1 ounces 5 ounces b002i9l3x4 pcisound7 3.8 out of 5 stars july 20  2009 none none,startech.com 5.1 channel pci surround sound card adapter,,0
451,B00I2XTPC6,9SIA61K42T7279,samsung xpress c460w wireless multifunction color laser printer,18.5 x 19.9 x 15.8 inches 20 pounds 34.8 pounds     b00i2xtpc6 sl-c460w/xaa 3.5 out of 5 stars january 28  2014 none none,samsung sl-m2070fw/xaa wireless monochrome multifunction laser printer,sl-m2070fw/xaa,0
353,B004H5YBU4,9SIA1N83Z86921,samsung color laser printer  clp-325w ,12.3 x 15.3 x 9.6 inches 24.2 pounds 28.9 pounds item can be shipped within u.s. this item is not eligible for international shipping. b004h5ybu4 clp-325w 3.3 out of 5 stars november 16  2010 none none,samsung clp-775nd color laser printer,clp-775nd,0
238,B001EZMEZO,9SIA85V3KV5702,pc power & cooling modxstream pro series 500 watt  500w  80+ semi-modular active pfc performance grade atx pc power supply 3 year warranty ocz500mxsp,b001ezmezo 4.4 out of 5 stars 5.9 pounds     july 7  2004 pc power & cooling ocz500mxsp 5.9 pounds 12 x 4 x 8.2 inches 12 x 4 x 8.25 inches black  red none,pc power & cooling fatal1ty gaming series 550 watt 80+ semi-modular active pfc performance grade atx pc power supply  ocz550fty ,ocz550fty,0
322,B002VPU9E4,9SIA91J43P4751,samsung color laser printer  clp-620nd ,24.5 x 23.5 x 23.8 inches 6.9 pounds 68 pounds item can be shipped within u.s. this item is not eligible for international shipping. b002vpu9e4 clp-620nd 3.5 out of 5 stars september 14  2004 none none,samsung clx-6260fw color wireless multifunction laser printer,clx-6260fw,0
46,B0000CG4DI,9SIA4RE4XA9790,creative labs sound blaster audigy 2 zs internal sound card,7.5 x 5.1 x 1.7 inches 3 pounds 1.6 pounds item can be shipped within u.s. this item is not eligible for international shipping. b0000cg4di sb0350 3.4 out of 5 stars september 11  2003 none none,creative sound blaster audigy2 zs sb0350 7.1 channels pci interface sound card,sb0350,1
403,B008AT1W0A,9SIA6TP2P34917,hp laserjet pro p1606dn,17.6 pounds 17.6 pounds hp b008at1w0a ce749a#aby 0.0 out of 5 stars january 25  2013 none none,refurbished  hp laserjet pro p1606dn printer  ce749a ,p1606dn,1
221,B001A1PQTS,9SIA1N83Z86921,samsung color laser printer  clp-315 ,20.1 x 17.4 x 14.6 inches 28.7 pounds 30.2 pounds currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b001a1pqts for proposition 65 warning clp-315 3.4 out of 5 stars may 22  2008 none none,samsung clp-775nd color laser printer,clp-775nd,0
76,B0008EUE7M,9SIA9JA4MJ7634,brother mfc-7220 laser multifunction printer,19 x 17.5 x 17 inches 20 pounds 23.8 pounds b0008eue7m for proposition 65 warning mfc-7220 7435-01-553-5360 3.9 out of 5 stars august 22  2003 none none,brother mfc-7860dw wireless monochrome multifunction laser printer,mfc-7860dw,0
1,B00004Z7EF,9SIA9AX4SS5695,creative labs sound blaster pci 512  sound card,14.4 x 3 x 9.2 inches 1.1 pounds 1.1 pounds item can be shipped within u.s. this item is not eligible for international shipping. b00004z7ef sb4790 2.7 out of 5 stars october 11  2000 none none,refurbished  creative labs sound blaster live! 5.1 pci sb0200 sound card 0r533,sb0200,0
213,B0016HLHQW,9SIA85V3R95619,masscool 80mm ball cpu cooler 5f9001b1h3,4.2 x 3.5 x 3 inches 3.2 ounces 3.2 ounces     item can be shipped within u.s. this item is not eligible for international shipping. b0016hlhqw 5f9001b1h3 4.2 out of 5 stars april 2  2004 none none,masscool 9t370b1m3 70mm ball cpu cooler,9t370b1m3,0
325,B0036TGGW8,9SIA0AJ2TS0303,hp laserjet pro p1606dn printer - old version   ce749a ,11.2 x 15.2 x 9.7 inches 15.4 pounds 19.8 pounds b0036tggw8 ce749a#bgj 7025-01-595-9624 4.5 out of 5 stars april 1  2010 none none,hp laserjet pro p1606dn workgroup up to 26 ppm monochrome laser printer,p1606dn,1
418,B008J49KX2,9SIA6393T04906,amd cpu hdz965fbk4dgm phenom ii x4 965 black edition 125w am3 8mb 3400mhz bare,4.6 x 2.4 x 0.8 inches 1 ounces 1 ounces amd b008j49kx2 4.7 out of 5 stars september 1  2004 none none,refurbished  amd phenom ii x4 965 black edition 3.4ghz quad-core processor 8mb cache 125w socket am3 desktop cpu,x4 965,1
102,B000HCT12O,9SIA7XZ2RU3073,logitech mx revolution cordless laser mouse  black ,1.2 x 3.5 x 3.5 inches 1.4 pounds 1.4 pounds b000hct12o 931689-0403 1 lithium ion batteries required. 4.4 out of 5 stars august 23  2006 none none,logitech mx 1100 black tilt wheel 2.4 ghz cordless laser mouse,mx 1100,0
363,B004QM8J8S,9SIA0AJ2TP4092,brother hl-2280dw wireless monochrome multifunction laser printer,15.7 x 15.9 x 10.6 inches 22.7 pounds 27.2 pounds     brother printer b004qm8j8s made in usa or imported hl2280dw 4.4 out of 5 stars march 15  2011 none none,refurbished  brother dcp-7065dn monochrome multifunction laser printer,edcp-7065dn,0
170,B000UCELXK,9SIAAEE4BR1346,seagate barracuda st3160815as 160gb 7200 rpm 8mb cache sata 3.0gb/s hard drive,5.8 x 4 x 0.8 inches 14.1 ounces 1.1 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b000ucelxk st3160815as 4.2 out of 5 stars december 19  2005 none none,"seagate barracuda 7200.8 st3300831as 300gb 7200 rpm 8mb cache sata 1.5gb/s 3.5"" hard drive bare drive",st3300831as,0
343,B0049YQVHE,9SIAADF3V36202,asus dual-band wireless-n600 gigabit router  rt-n56u ,12.2 x 9.4 x 3.3 inches 8 ounces 2.5 pounds     b0049yqvhe rt-n56u 3.9 out of 5 stars october 30  2010 none none,asus rt-ac66w dual-band wireless-ac1750 gigabit router,rt-ac66w,0
144,B000OCUS7Y,9SIA45H22W2054,masscool 90mm ball cpu cooler 8w553b1m3,b000ocus7y 3.8 out of 5 stars 12.8 ounces     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. april 2  2004 masscool 8w553b1m3 1 pounds 4 x 4 x 3.5 inches 4 x 4 x 3.5 inches none,masscool 8w553b1m3 90mm ball cpu cooler,8w553b1m3,1
132,B000MNA082,9SIA6393S85148,amd athlon 64 x2 dual-core 5600+ 2.8 ghz processor  socket am2,0.4 x 0.4 x 0.4 inches 1.2 pounds 1.2 pounds item can be shipped within u.s. this item is not eligible for international shipping. b000mna082 ada5600czbox 4.3 out of 5 stars august 9  2006 none none,refurbished  amd athlon 64 x2 5600+ 2.9ghz socket am2 dual-core desktop cpu,,0
12,B00005TQ08,9SIA4RE38E5766,microsoft intellimouse optical mouse,9.5 x 8.9 x 2.1 inches 11.2 ounces 11.2 ounces b00005tq08 d58-00026 4.1 out of 5 stars november 6  2001 none none,microsoft intellimouse optical,d58-00026,1
327,B0037HPZAI,9SIABB75BM2866,intel q8300 core 2 quad processor bx80580q8300 slgur lga775,6 x 5 x 3.2 inches 12 ounces 1.9 pounds     intel corporation b0037hpzai bx80580q8300 3.7 out of 5 stars november 11  2008 none none,intel core 2 quad q8300 yorkfield quad-core 2.5 ghz lga 775 95w bx80580q8300 desktop processor,bx80580q8300,1
173,B000UCELXK,9SIABS64TJ6874,seagate barracuda st3160815as 160gb 7200 rpm 8mb cache sata 3.0gb/s hard drive,5.8 x 4 x 0.8 inches 14.1 ounces 1.1 pounds     item can be shipped within u.s. this item is not eligible for international shipping. b000ucelxk st3160815as 4.2 out of 5 stars december 19  2005 none none,"seagate barracuda 7200.9 st3250824as 250gb 7200 rpm 8mb cache sata 3.0gb/s 3.5"" hard drive bare drive",st3250824as,0
224,B001B99I34,9SIA4T01GT5600,d-link  dir-628 rangebooster n dual band router,7.5 x 1.2 x 4.6 inches 1.9 pounds 1.9 pounds b001b99i34 dir-628 3.3 out of 5 stars july 7  2004 none none,d-link dir-628 802.11n/g/a  802.3/3u 2.4/5ghz selectable dual-band rangebooster wireless n router up to 300mbps,dir-628,1
342,B00471O1VC,N82E16828106829,lexmark c792e color laser printer  47b0000 ,20.2 x 22.3 x 20.3 inches 110.2 pounds 143 pounds amazon only ships this item within the contiguous 48 united states. other sellers on amazon may ship this item to alaska  hawaii and us territories. this item is not eligible for international shipping. b00471o1vc 47b0000 5.0 out of 5 stars october 13  2010 none none,lexmark c925de color laser printer,24z0000,0
78,B0008EUE7M,9SIA9JJ3X36894,brother mfc-7220 laser multifunction printer,19 x 17.5 x 17 inches 20 pounds 23.8 pounds b0008eue7m for proposition 65 warning mfc-7220 7435-01-553-5360 3.9 out of 5 stars august 22  2003 none none,brother mfc-7360n monochrome multifunction laser printer,mfc-7360n,0
276,B001QIUB6I,9SIA1N83V45288,intel bxsts100c thermal solution lga1366 for 2-socket servers/workstations - combo,6.1 x 5.8 x 3.8 inches 1.6 pounds 1.6 pounds     b001qiub6i bxsts100c 5999-01-616-3080 3.6 out of 5 stars october 1  2008 none none,intel bxsts100c passive/active combination heat sink with removable fan,bxsts100c,1
387,B007RFYKO8,9SIA0AJ2591738,canon imageclass lbp6670dn laser printer,14.9 x 15.8 x 11.4 inches 25.8 pounds 34 pounds     canon usa  lasers  b007rfyko8 item can be shipped within u.s. this item is not eligible for international shipping. 5152b009aa 4.2 out of 5 stars april 4  2012 none none,canon imageclass mf4770n monochrome multifunction laser printer,mf4770n,0
425,B00A82NUV6,N82E16828006537,lexmark 47b0001  c792de  color laser printer,27.6 x 29.9 x 33.3 inches 143 pounds 143 pounds     currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b00a82nuv6 47b0001 0.0 out of 5 stars january 12  2011 none none,lexmark cs310dn color laser printer,cs310dn,0
301,B002C7489S,9SIA4RR1X92549,apple macbook mc516ll/a 13.3-inch laptop  old version ,b002c7489s 4.3 out of 5 stars 5.8 pounds currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. may 18  2010 13.3 inches 1280 x 800 1280 x 800 pixels 2.4 ghz intel core 2 duo 2 gb ddr3 1066 mhz 250 gb mechanical_hard_drive nvidia geforce 320m nvidia integrated 256 mb 802.11 a/b/g/n 2 10 hours apple macbook pro mc516ll/a mac mac os x v10.6 snow leopard 4.7 pounds 13 x 9.1 x 10.8 inches 13 x 9.12 x 10.79 inches white 1 mp intel 2 ddr3 sdram 256 serial ata 5400 rpm dvd super multi dl 1 lithium_polymer 100 - 240v 230 volts,"refurbished  apple notebook  b grade  macbook mc516ll/a intel core 2 duo p8600  2.40 ghz  2gb ddr3 memory 250 gb hdd 0 gb ssd nvidia geforce 320m 13.3"" mac os x v10.6 snow leopard",mc516ll/a,1
196,B00116SLYY,9SIA6393SE2172,intel e8400 core 2 duo processor 3 ghz 6 mb cache socket lga775,6.7 x 6.1 x 3.9 inches 13.6 ounces 9.6 ounces     b00116slyy for proposition 65 warning bx80570e8400 4.4 out of 5 stars july 7  2004 none none,refurbished  intel core 2 duo processor e8400 3.0ghz 6 mb cache socket lga775 desktop cpu,e8400,1
10,B00005TQ08,9SIA1N82853897,microsoft intellimouse optical mouse,9.5 x 8.9 x 2.1 inches 11.2 ounces 11.2 ounces b00005tq08 d58-00026 4.1 out of 5 stars november 6  2001 none none,microsoft compact optical mouse 500,u81-00009,0
469,B00MFG58N6,N82E16828133822,brother mfcl2700dw compact laser all-in one printer with wireless networking and duplex printing,15.7 x 16.1 x 12.5 inches 24.9 pounds 30.2 pounds     item can be shipped within u.s. this item can be shipped to select countries outside of the u.s. b00mfg58n6 mfcl2700dw 4.1 out of 5 stars august 1  2014 none none,brother hl-l8350cdw color laser printer with wireless networking and duplex printing,hl-l8350cdw,0
271,B001MW92AE,9SIA90839G1607,external 5.1 usb 3d audio sound card adapter for pc desktop notebook laptop,b001mw92ae 3.3 out of 5 stars 1.6 ounces     may 10  2004 284289 3 pounds 5.4 x 4.2 x 0.5 inches for proposition 65 warning 284289 brown plastic 1 personal no no none,usb 1.1 mic/speaker surround sound 7.1 ch 3d audio card adapter for pc laptop,,0
75,B0008EUE7M,9SIA0AJ2TV1555,brother mfc-7220 laser multifunction printer,19 x 17.5 x 17 inches 20 pounds 23.8 pounds b0008eue7m for proposition 65 warning mfc-7220 7435-01-553-5360 3.9 out of 5 stars august 22  2003 none none,brother mfc-9460cdn color multifunction laser printer,mfc-9460cdn,0
142,B000N1N2ZG,N82E16828118696,xerox phaser 6180/n color laser printer,15.7 x 19.4 x 18.5 inches 62.4 pounds 78 pounds     currently  item can be shipped only within the u.s. and to apo/fpo addresses. for apo/fpo shipments  please check with the manufacturer regarding warranty and support issues. this item is not eligible for international shipping. b000n1n2zg 6180/n 3.0 out of 5 stars july 7  2004 none none,xerox phaser 6500/n color laser printer,6500,0
65,B0007WDIX2,9SIA24G28N3283,tripp lite high speed hdmi cable  ultra hd 4k x 2k  digital video with audio  m/m   black  16-ft.  p568-016 ,8 x 6 x 1.2 inches 8.8 ounces 12 ounces     b0007wdix2 for proposition 65 warning p568-016 4.2 out of 5 stars september 14  2004 none none,tripp lite high speed hdmi cable with swivel connectors  ultra hd 4k x 2k  digital video with audio  m/m   3-ft.  p568-003-sw ,p568-003-sw,0
340,B00471O1VC,N82E16828006536,lexmark c792e color laser printer  47b0000 ,20.2 x 22.3 x 20.3 inches 110.2 pounds 143 pounds amazon only ships this item within the contiguous 48 united states. other sellers on amazon may ship this item to alaska  hawaii and us territories. this item is not eligible for international shipping. b00471o1vc 47b0000 5.0 out of 5 stars october 13  2010 none none,lexmark cs310n color laser printer,cs310n,0
484,B00UJGGFZY,9SIA6393S85426,intel core 2 quad q9650 3 ghz 12 mb cache quad-core cpu processor slb8w lga 775,b01cvlghwk 4.8 out of 5 stars 12.8 ounces march 11  2015 3.00 intel core 2 quad intel intel core 2 quad q9650 3 pounds 8 x 7 x 3 inches intel 4,refurbished  intel core 2 quad q9650 3.0 ghz 12 mb cache 95w quad-core processor slb8w lga775 desktop cpu,q9650,1
